Company,Valuation ($B),Date Joined,Country,City ,Industry,Investors,Valuation BI,invest_1,invest_2,invest_3,invest_4,data_1,data_2,data_3,data_4
CAIS,$1.10,2022-01-11,United States,New York,Fintech,"Franklin Templeton, Motive Partners. Apollo Global Management",1.1,Franklin Templeton,Motive Partners. Apollo Global Management,nan,nan,Franklin Templeton,Motive Partners. Apollo Global Management,,
Nxin,$1.08,2018-09-18,China,Beijing,Internet software & services,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",1.08,Beijing Juneng Hesheng Industry Investment Fund,Beijing Shuju Xinrong Fund,nan,nan,Beijing Juneng Hesheng Industry Investment Fund,Beijing Shuju Xinrong Fund,,
UISEE Technology,$1.08,2021-01-25,China,Beijing,"Supply chain, logistics, & delivery","Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",1.08,Shenzhen Capital Group,Robert Bosch Venture Capital,SeptWolves Ventures,nan,Shenzhen Capital Group,Robert Bosch Venture Capital,SeptWolves Ventures,
56PINGTAI,$1.08,2021-01-25,China,Shanghai,"Supply chain, logistics, & delivery","QF Capital, QC Capital, Unicom Innovation Venture Capital",1.08,QF Capital,QC Capital,Unicom Innovation Venture Capital,nan,QF Capital,QC Capital,Unicom Innovation Venture Capital,
Cirkul,$1.07,2022-06-13,United States,Sarasota,Consumer & retail,"AF Ventures, Siddhi Capital, SC.Holdings",1.07,AF Ventures,Siddhi Capital,SC.Holdings,nan,AF Ventures,Siddhi Capital,SC.Holdings,
Rubicon,$1.07,2017-08-25,United States,Atlanta,Other,"Goldman Sachs, Leonardo DiCaprio, Promecap",1.07,Goldman Sachs,Leonardo DiCaprio,Promecap,nan,Goldman Sachs,Leonardo DiCaprio,Promecap,
Radius Payment Solutions,$1.07,2017-11-27,United Kingdom,Crewe,Fintech,Inflexion Private Equity,1.07,Inflexion Private Equity,nan,nan,nan,Inflexion Private Equity,,,
Rivigo,$1.07,2019-07-11,India,Gurgaon,"Supply chain, logistics, & delivery","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",1.07,SAIF Partners India,Warburg Pincus,Trifecta Capital Advisors,nan,SAIF Partners India,Warburg Pincus,Trifecta Capital Advisors,
Mamaearth,$1.07,2021-12-28,India,Gurgaon,E-commerce & direct-to-consumer,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",1.07,Fireside Ventures,Sequoia Capital India,Stellaris Venture Partners,nan,Fireside Ventures,Sequoia Capital India,Stellaris Venture Partners,
0x,$1.05,2022-04-26,United States,San Francisco,Fintech,"Jump Capital, Pantera Capital, Greylock Partners",1.05,Jump Capital,Pantera Capital,Greylock Partners,nan,Jump Capital,Pantera Capital,Greylock Partners,
Jiuxian,$1.05,2015-07-30,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",1.05,Sequoia Capital China,Rich Land Capital,Merrysunny Wealth,nan,Sequoia Capital China,Rich Land Capital,Merrysunny Wealth,
Instabase,$1.05,2019-10-21,United States,San Francisco,Data management & analytics,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",1.05,New Enterprise Associates,Greylock Partners,Andreessen Horowitz,nan,New Enterprise Associates,Greylock Partners,Andreessen Horowitz,
Sendbird,$1.05,2021-04-06,United States,San Mateo,Mobile & telecommunications,"FundersClub, Y Combinator, Tiger Global Management",1.05,FundersClub,Y Combinator,Tiger Global Management,nan,FundersClub,Y Combinator,Tiger Global Management,
Density,$1.05,2021-11-10,United States,San Francisco,Hardware,"Founders Fund, Upfront Ventures, 	01 Advisors",1.05,Founders Fund,Upfront Ventures,	01 Advisors,nan,Founders Fund,Upfront Ventures,	01 Advisors,
Mixpanel,$1.05,2021-11-15,United States,San Francisco,Internet software & services,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",1.05,Bain Capital Tech Opportunities,Andreessen Horowitz,Sequoia Capital,nan,Bain Capital Tech Opportunities,Andreessen Horowitz,Sequoia Capital,
Branch,$1.05,2022-03-01,United States,Columbus,Fintech,"American Family Ventures, Greycroft, SignalFire",1.05,American Family Ventures,Greycroft,SignalFire,nan,American Family Ventures,Greycroft,SignalFire,
Aprogen,$1.04,2019-05-31,South Korea,Seongnam-Si,Health,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",1.04,Lindeman Asia Investment,Nichi-Iko Pharmaceutical,nan,nan,Lindeman Asia Investment,Nichi-Iko Pharmaceutical,,
OrCam Technologies,$1.03,2018-02-20,Israel,Jerusalem,Artificial intelligence,"Intel Capital, Aviv Venture Capital",1.03,Intel Capital,Aviv Venture Capital,nan,nan,Intel Capital,Aviv Venture Capital,,
Ample,$1.02,2021-11-11,United States,San Francisco,Hardware,"Shell Ventures, Blackstone, Moore Strategic Ventures",1.02,Shell Ventures,Blackstone,Moore Strategic Ventures,nan,Shell Ventures,Blackstone,Moore Strategic Ventures,
Leap Motor,$1.01,2018-11-20,China,Hangzhou,Auto & transportation,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",1.01,Sequoia Capital China,Gopher Asset Management,Shanghai Electric Group,nan,Sequoia Capital China,Gopher Asset Management,Shanghai Electric Group,
Wheel,$1.01,2022-01-19,United States,Austin,Health,"Silverton Partners, Tusk Ventures, CRV",1.01,Silverton Partners,Tusk Ventures,CRV,nan,Silverton Partners,Tusk Ventures,CRV,
Flow,$1,2022-08-15,United States,New York,Fintech,Andreessen Horowitz,1.0,Andreessen Horowitz,nan,nan,nan,Andreessen Horowitz,,,
Turntide Technologies,$1,2022-06-15,United States,Sunnyvale,Auto & transportation,"Meson Capital Partners, Fifth Wall Ventures, OGCI Climate Investments",1.0,Meson Capital Partners,Fifth Wall Ventures,OGCI Climate Investments,nan,Meson Capital Partners,Fifth Wall Ventures,OGCI Climate Investments,
EcoVadis,$1,2022-06-14,France,Paris,"Supply chain, logistics, & delivery","Astorg Partners, Princeville Global, Beyond Net Zero",1.0,Astorg Partners,Princeville Global,Beyond Net Zero,nan,Astorg Partners,Princeville Global,Beyond Net Zero,
TransferMate,$1,2022-05-22,Ireland,Kilkenny,Fintech,Railway Pension Trustee Co. Ltd.,1.0,Railway Pension Trustee Co. Ltd.,nan,nan,nan,Railway Pension Trustee Co. Ltd.,,,
Lookout,$1,2013-10-10,United States,San Francisco,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital",1.0,Accel Partners,Greylock Partners,Lowercase Capital,nan,Accel Partners,Greylock Partners,Lowercase Capital,
Perimeter 81,$1,2022-06-06,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Toba Capital, Spring Ventures",1.0,Insight Partners,Toba Capital,Spring Ventures,nan,Insight Partners,Toba Capital,Spring Ventures,
Snapdeal,$1,2014-05-21,India,New Delhi,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group",1.0,SoftBankGroup,Blackrock,Alibaba Group,nan,SoftBankGroup,Blackrock,Alibaba Group,
TechStyle Fashion Group,$1,2014-08-29,United States,El Segundo,E-commerce & direct-to-consumer,"Matrix Partners, Passport Capital, Rho Ventures",1.0,Matrix Partners,Passport Capital,Rho Ventures,nan,Matrix Partners,Passport Capital,Rho Ventures,
InMobi,$1,2014-12-02,India,Bengaluru,Mobile & telecommunications,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",1.0,Kleiner Perkins Caufield & Byers,Softbank Corp.,Sherpalo Ventures,nan,Kleiner Perkins Caufield & Byers,Softbank Corp.,Sherpalo Ventures,
LinkSure Network,$1,2015-01-01,China,Shanghai,Mobile & telecommunications,,1.0,nan,nan,nan,nan,,,,
Red Ventures,$1,2015-01-07,United States,Fort Mill,Other,"Silver Lake Partners, General Atlantic",1.0,Silver Lake Partners,General Atlantic,nan,nan,Silver Lake Partners,General Atlantic,,
BeiBei,$1,2015-01-22,China,Hangzhou,E-commerce & direct-to-consumer,"Banyan Capital, New Horizon Capital, IDG Capital Partners",1.0,Banyan Capital,New Horizon Capital,IDG Capital Partners,nan,Banyan Capital,New Horizon Capital,IDG Capital Partners,
Lamabang,$1,2015-03-06,China,Shenzhen,E-commerce & direct-to-consumer,"5Y Capital, Matrix Partners China, K2VC",1.0,5Y Capital,Matrix Partners China,K2VC,nan,5Y Capital,Matrix Partners China,K2VC,
JimuBox,$1,2015-04-21,China,Beijing,Fintech,"Matrix Partners China, Ventech China, Shunwei Capital Partners",1.0,Matrix Partners China,Ventech China,Shunwei Capital Partners,nan,Matrix Partners China,Ventech China,Shunwei Capital Partners,
FXiaoKe,$1,2015-07-02,China,Beijing,Mobile & telecommunications,"IDG Capital, Northern Light Venture Capital, DCM Ventures",1.0,IDG Capital,Northern Light Venture Capital,DCM Ventures,nan,IDG Capital,Northern Light Venture Capital,DCM Ventures,
Vox Media,$1,2015-08-12,United States,Washington,Internet software & services,"Accel Partners, Comcast Ventures, General Atlantic",1.0,Accel Partners,Comcast Ventures,General Atlantic,nan,Accel Partners,Comcast Ventures,General Atlantic,
Mia.com,$1,2015-09-08,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, ZhenFund, K2 Ventures",1.0,Sequoia Capital China,ZhenFund,K2 Ventures,nan,Sequoia Capital China,ZhenFund,K2 Ventures,
58 Daojia,$1,2015-10-12,China,Beijing,Internet software & services,"KKR, Alibaba Group, Ping An Insurance",1.0,KKR,Alibaba Group,Ping An Insurance,nan,KKR,Alibaba Group,Ping An Insurance,
Womai,$1,2015-10-12,China,Beijing,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital",1.0,SAIF Partners China,Baidu,IDG Capital,nan,SAIF Partners China,Baidu,IDG Capital,
HuJiang,$1,2015-10-29,China,Shanghai,Edtech,"China Minsheng Investment, Baidu, Wanxin Media",1.0,China Minsheng Investment,Baidu,Wanxin Media,nan,China Minsheng Investment,Baidu,Wanxin Media,
iTutorGroup,$1,2015-11-18,China,Shanghai,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",1.0,QiMing Venture Partners,Temasek Holdings,Silverlink Capital,nan,QiMing Venture Partners,Temasek Holdings,Silverlink Capital,
MindMaze,$1,2016-01-28,Switzerland,Lausanne,Health,Hinduja Group,1.0,Hinduja Group,nan,nan,nan,Hinduja Group,,,
iCarbonX,$1,2016-04-12,China,Shenzhen,Artificial intelligence,"Tencent, Vcanbio",1.0,Tencent,Vcanbio,nan,nan,Tencent,Vcanbio,,
SMS Assist,$1,2016-06-07,United States,Chicago,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",1.0,Goldman Sachs,Insights Venture Partners,Pritzker Group Venture Capital,nan,Goldman Sachs,Insights Venture Partners,Pritzker Group Venture Capital,
Kendra Scott,$1,2016-12-21,United States,Austin,Consumer & retail,"Berkshire Partners, Norwest Venture Partners",1.0,Berkshire Partners,Norwest Venture Partners,nan,nan,Berkshire Partners,Norwest Venture Partners,,
Mobvoi,$1,2017-04-06,China,Beijing,Consumer & retail,"Sequoia Capital China, SIG Asia Investments, ZhenFund",1.0,Sequoia Capital China,SIG Asia Investments,ZhenFund,nan,Sequoia Capital China,SIG Asia Investments,ZhenFund,
Zhuan Zhuan,$1,2017-04-18,China,Beijing,E-commerce & direct-to-consumer,"58.com, Tencent Holdings",1.0,58.com,Tencent Holdings,nan,nan,58.com,Tencent Holdings,,
Modernizing Medicine,$1,2017-05-10,United States,Boca Raton,Health,"Warburg Pincus, Summit Partners, Sands Capital",1.0,Warburg Pincus,Summit Partners,Sands Capital,nan,Warburg Pincus,Summit Partners,Sands Capital,
Zhaogang,$1,2017-06-29,China,Shanghai,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital",1.0,K2 Ventures,Matrix Partners China,IDG Capital,nan,K2 Ventures,Matrix Partners China,IDG Capital,
DianRong,$1,2017-08-02,China,Shanghai,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital",1.0,Standard Chartered,FinSight Ventures,Affirma Capital,nan,Standard Chartered,FinSight Ventures,Affirma Capital,
Cell C,$1,2017-08-07,South Africa,Midrand,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies",1.0,Blue Label Telecoms,Net1 UEPS Technologies,nan,nan,Blue Label Telecoms,Net1 UEPS Technologies,,
YH Global,$1,2017-09-21,China,Shenzhen,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland",1.0,Co-Energy Finance,Grandland,nan,nan,Co-Energy Fice,Grandland,,
Revolution Precrafted,$1,2017-10-23,Philippines,Manila,Other,"K2 Global, 500 Startups",1.0,K2 Global,500 Startups,nan,nan,K2 Global,500 Startups,,
WeLab,$1,2017-11-08,Hong Kong,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",,1.0,nan,nan,nan,nan,,,,
Maimai,$1,2017-11-15,China,Beijing,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures",1.0,Morningside Venture Capital,IDG Capital,DCM Ventures,nan,Morningside Venture Capital,IDG Capital,DCM Ventures,
Dxy.cn,$1,2018-04-10,China,Hangzhou,Health,"Tencent Holdings, DCM Ventures",1.0,Tencent Holdings,DCM Ventures,nan,nan,Tencent Holdings,DCM Ventures,,
HMD Global,$1,2018-05-21,Finland,Espoo,Mobile & telecommunications,Ginko Ventures,1.0,Ginko Ventures,nan,nan,nan,Ginko Ventures,,,
Huike Group,$1,2018-05-24,China,Beijing,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",1.0,Fosun RZ Capital,Oceanwide Holdings,Shenzhen Qianhe Capital Management Co.,nan,Fosun RZ Capital,Oceanwide Holdings,Shenzhen Qianhe Capital Management Co.,
China Cloud,$1,2018-06-11,China,Wuxi,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",1.0,V Star Capital,GF Xinde Investment Management Co.,Haitong Leading Capital Management,nan,V Star Capital,GF Xinde Investment Management Co.,Haitong Leading Capital Management,
LinkDoc Technology,$1,2018-07-05,China,Beijing,Health,"China Investment Corporation, New Enterprise Associates",1.0,China Investment Corporation,New Enterprise Associates,nan,nan,China Investment Corporation,New Enterprise Associates,,
MediaMath,$1,2018-07-10,United States,New York,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund",1.0,Silicon Valley Bank,QED Investors,European Founders Fund,nan,Silicon Valley Bank,QED Investors,European Founders Fund,
Movile,$1,2018-07-12,Brazil,Sao Paulo,Mobile & telecommunications,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",1.0,Innova Capital - FIP,3G Capital Management,Prosus Ventures,nan,Innova Capital - FIP,3G Capital Management,Prosus Ventures,
Pat McGrath Labs,$1,2018-07-16,United States,New York,Consumer & retail,"One Luxury Group, Eurazeo",1.0,One Luxury Group,Eurazeo,nan,nan,One Luxury Group,Eurazeo,,
Wacai,$1,2018-07-18,China,Hangzhou,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments",1.0,Qiming Venture Partners,China Broadband Capital,CDH Investments,nan,Qiming Venture Partners,China Broadband Capital,CDH Investments,
FlashEx,$1,2018-08-27,China,Beijing,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management",1.0,Prometheus Capital,Matrix Partners China,JD Capital Management,nan,Prometheus Capital,Matrix Partners China,JD Capital Management,
Banma Network Technologies,$1,2018-09-13,China,Shanghai,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",1.0,Yunfeng Capital,SDIC Innovation Investment Management,Shang Qi Capital,nan,Yunfeng Capital,SDIC Innovation Investment Management,Shang Qi Capital,
Tresata,$1,2018-10-10,United States,Charlotte,Fintech,GCP Capital Partners,1.0,GCP Capital Partners,nan,nan,nan,GCP Capital Partners,,,
Momenta,$1,2018-10-17,China,Beijing,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",1.0,Sinovation Ventures,Tencent Holdings,Sequoia Capital China,nan,Sinovation Ventures,Tencent Holdings,Sequoia Capital China,
Hosjoy,$1,2018-10-18,China,Nanjing,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities",1.0,U.S.-China Green Fund,Founder H Fund,Richland Equities,nan,U.S.-China Green Fund,Founder H Fund,Richland Equities,
Omio,$1,2018-10-23,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates",1.0,Lakestar,Battery Ventures,New Enterprise Associates,nan,Lakestar,Battery Ventures,New Enterprise Associates,
TERMINUS Technology,$1,2018-10-25,China,Beijing,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK",1.0,China Everbright Limited,IDG Capital,iFLYTEK,nan,China Everbright Limited,IDG Capital,iFLYTEK,
BitFury,$1,2018-11-06,Netherlands,Amsterdam,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",1.0,Georgian Co-Investment Fund,iTech Capital,Galaxy Digital,nan,Georgian Co-Investment Fund,iTech Capital,Galaxy Digital,
iFood,$1,2018-11-13,Brazil,Osasco,"Supply chain, logistics, & delivery","Movile, Just Eat, Naspers",1.0,Movile,Just Eat,Naspers,nan,Movile,Just Eat,Naspers,
REEF Technology,$1,2018-12-10,United States,Miami,"Supply chain, logistics, & delivery","Target Global, UBS Asset Management, Mubadala Capital",1.0,Target Global,UBS Asset Management,Mubadala Capital,nan,Target Global,UBS Asset Management,Mubadala Capital,
Globality,$1,2019-01-22,United States,Menlo Park,Artificial intelligence,SoftBank Group,1.0,SoftBank Group,nan,nan,nan,SoftBank Group,,,
Ynsect,$1,2019-02-21,France,Evry,Other,"Astanor Ventures, Upfront Ventures, IDInvest Partners",1.0,Astanor Ventures,Upfront Ventures,IDInvest Partners,nan,Astanor Ventures,Upfront Ventures,IDInvest Partners,
Intellifusion,$1,2019-03-22,China,Shenzhen,Artificial intelligence,"BOC International, TopoScend Capital, Hongxiu VC",1.0,BOC International,TopoScend Capital,Hongxiu VC,nan,BOC International,TopoScend Capital,Hongxiu VC,
Poizon,$1,2019-04-29,China,Shanghai,Mobile & telecommunications,"DST Global, Sequoia Capital China, Gaorong Capital",1.0,DST Global,Sequoia Capital China,Gaorong Capital,nan,DST Global,Sequoia Capital China,Gaorong Capital,
VTS,$1,2019-05-07,United States,New York,Internet software & services,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners",1.0,Trinity Ventures,Fifth Wall Ventures,OpenView Venture Partners,nan,Trinity Ventures,Fifth Wall Ventures,OpenView Venture Partners,
SITECH DEV,$1,2019-05-16,China,Guiyang,Other,China Prosperity Capital,1.0,China Prosperity Capital,nan,nan,nan,China Prosperity Capital,,,
KnowBox,$1,2019-05-30,China,Beijing,Edtech,"TAL Education Group, Legend Star, Alibaba Group",1.0,TAL Education Group,Legend Star,Alibaba Group,nan,TAL Education Group,Legend Star,Alibaba Group,
Yanolja,$1,2019-06-10,South Korea,Seoul,Travel,"SBI Investment Korea, Partners Investment, GIC",1.0,SBI Investment Korea,Partners Investment,GIC,nan,SBI Investment Korea,Partners Investment,GIC,
Meero,$1,2019-06-18,France,Paris,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital",1.0,Aglae Ventures,Global Founders Capital,Alven Capital,nan,Aglae Ventures,Global Founders Capital,Alven Capital,
Ibotta,$1,2019-08-06,United States,Denver,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",1.0,Koch Disruptive Technologies,Teamworthy Ventures,GGV Capital,nan,Koch Disruptive Technologies,Teamworthy Ventures,GGV Capital,
C2FO,$1,2019-08-07,United States,Leawood,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",1.0,Union Square Ventures,Summerhill Venture Partners,Mithril Capital Management,nan,Union Square Ventures,Summerhill Venture Partners,Mithril Capital Management,
Numbrs,$1,2019-08-22,Switzerland,Zurich,Fintech,"Investment Corporation of Dubai, Centralway",1.0,Investment Corporation of Dubai,Centralway,nan,nan,Investment Corporation of Dubai,Centralway,,
EBANX,$1,2019-10-16,Brazil,Curitiba,Fintech,"FTV Capital, Endeavor",1.0,FTV Capital,Endeavor,nan,nan,FTV Capital,Endeavor,,
KK Group,$3,2019-10-23,China,Dongguan,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",3.0,Matrix Partners China,Bright Venture Capita,Shenzhen Capital Group,nan,Matrix Partners China,Bright Venture Capita,Shenzhen Capital Group,
Alto Pharmacy,$1,2020-01-30,United States,San Francisco,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",1.0,Jackson Square Ventures,Greenoaks Capital Management,Softbank Group,nan,Jackson Square Ventures,Greenoaks Capital Management,Softbank Group,
Hotmart,$1,2020-03-17,Netherlands,Amsterdam,E-commerce & direct-to-consumer,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",1.0,Technology Crossover Ventures,Alkeon Capital Management,General Atlantic,nan,Technology Crossover Ventures,Alkeon Capital Management,General Atlantic,
Emerging Markets Property Group,$1,2020-04-28,United Arab Emirates,Dubai,Other,"OLX Group, KCK Group, EXOR Seeds",1.0,OLX Group,KCK Group,EXOR Seeds,nan,OLX Group,KCK Group,EXOR Seeds,
Quizlet,$1,2020-05-13,United States,San Francisco,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures",1.0,Union Square Ventures,Altos Ventures,Costanoa Ventures,nan,Union Square Ventures,Altos Ventures,Costanoa Ventures,
Orca Bio,$1,2020-06-17,United States,Menlo Park,Health,"Lightspeed Venture Partners, Data Collective, 8VC",1.0,Lightspeed Venture Partners,Data Collective,8VC,nan,Lightspeed Venture Partners,Data Collective,8VC,
Infobip,$1,2020-07-30,Croatia,Vodnjan,Mobile & telecommunications,One Equity Partners,1.0,One Equity Partners,nan,nan,nan,One Equity Partners,,,
Zwift,$1,2020-09-16,United States,Long Beach,E-commerce & direct-to-consumer,"Novator Partners, True, Causeway Media Partners",1.0,Novator Partners,True,Causeway Media Partners,nan,Novator Partners,True,Causeway Media Partners,
Playco,$1,2020-09-21,Japan,Tokyo,Other,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",1.0,Sozo Ventures,Caffeinated Capital,Sequoia Capital,nan,Sozo Ventures,Caffeinated Capital,Sequoia Capital,
Socar,$1.07,2020-10-16,South Korea,Jeju-do,Auto & transportation,"Bain Capital, Altos Ventures, Songhyun Investment",1.07,Bain Capital,Altos Ventures,Songhyun Investment,nan,Bain Capital,Altos Ventures,Songhyun Investment,
Gousto,$1.70,2020-11-03,United Kingdom,London,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures",1.7,MMC Ventures,BGF Ventures,Unilever Ventures,nan,MMC Ventures,BGF Ventures,Unilever Ventures,
Boom Supersonic,$1,2020-12-16,United States,Englewood,Other,"WRVI Capital, Caffeinated Capital, Y Combinator",1.0,WRVI Capital,Caffeinated Capital,Y Combinator,nan,WRVI Capital,Caffeinated Capital,Y Combinator,
Quantum Metric,$1,2021-01-07,United States,Colorado Springs,Data management & analytics,"Insight Partners, Bain Capital Ventures",1.0,Insight Partners,Bain Capital Ventures,nan,nan,Insight Partners,Bain Capital Ventures,,
News Break,$1,2021-01-07,United States,Mountain View,Internet software & services,"IDG Capital, Francisco Partners, ZhenFund",1.0,IDG Capital,Francisco Partners,ZhenFund,nan,IDG Capital,Francisco Partners,ZhenFund,
MadeiraMadeira,$1,2021-01-07,Brazil,Parana,E-commerce & direct-to-consumer,"Flybridge Capital Partners, SoftBank Group, Monashees+",1.0,Flybridge Capital Partners,SoftBank Group,Monashees+,nan,Flybridge Capital Partners,SoftBank Group,Monashees+,
PPRO,$1,2021-01-19,United Kingdom,London,Fintech,"Wellington Management, Eurazeo, Citi Ventures",1.0,Wellington Management,Eurazeo,Citi Ventures,nan,Wellington Management,Eurazeo,Citi Ventures,
Splashtop,$1,2021-01-27,United States,San Jose,Internet software & services,"Storm Ventures, DFJ DragonFund, New Enterprise Associates",1.0,Storm Ventures,DFJ DragonFund,New Enterprise Associates,nan,Storm Ventures,DFJ DragonFund,New Enterprise Associates,
Flash Express,$1,2021-02-01,Thailand,Bangkok,"Supply chain, logistics, & delivery","SCB 10X, Krungsri Finnovate, eWTP Capital",1.0,SCB 10X,Krungsri Finnovate,eWTP Capital,nan,SCB 10X,Krungsri Finnovate,eWTP Capital,
Axiom Space,$1,2021-02-16,United States,Houston,Other,"C5 Capital, Hemisphere Ventures, The Venture Collective",1.0,C5 Capital,Hemisphere Ventures,The Venture Collective,nan,C5 Capital,Hemisphere Ventures,The Venture Collective,
Locus Robotics,$1,2021-02-17,United States,Wilmington,Hardware,"Scale Venture Partners, Bond, Tiger Global Management",1.0,Scale Venture Partners,Bond,Tiger Global Management,nan,Scale Venture Partners,Bond,Tiger Global Management,
Standard,$1,2021-02-17,United States,San Francisco,Artificial intelligence,"CRV, Y Combinator, Initialized Capital",1.0,CRV,Y Combinator,Initialized Capital,nan,CRV,Y Combinator,Initialized Capital,
WeBull,$1,2021-02-18,China,Changsha,Fintech,"Bojiang Capital, Hongdao Capital, Mobai Capital",1.0,Bojiang Capital,Hongdao Capital,Mobai Capital,nan,Bojiang Capital,Hongdao Capital,Mobai Capital,
Skydio,$1,2021-02-25,United States,Redwood City,"Supply chain, logistics, & delivery","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel",1.0,Andreessen Horowitz,Andreessen Horowitz,Institutional Venture Partners,Accel,Andreessen Horowitz,Andreessen Horowitz,Institutional Venture Partners,Accel
Newsela,$1,2021-02-25,United States,New York,Edtech,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners",1.0,Owl Ventures,Technology Crossover Ventures,Tao Capital Partners,nan,Owl Ventures,Technology Crossover Ventures,Tao Capital Partners,
Aqua Security,$1,2021-03-10,Israel,Ramat Gan,Cybersecurity,"TLV Partners, Lightspeed Venture Partners, M12",1.0,TLV Partners,Lightspeed Venture Partners,M12,nan,TLV Partners,Lightspeed Venture Partners,M12,
PatSnap,$1,2021-03-16,Singapore,Internet software & services,"Sequoia Capital China, Shunwei Capital Partners, Qualgro",,1.0,nan,nan,nan,nan,,,,
Evidation,$1,2021-03-22,United States,San Mateo,Health,"B Capital Group,, GE Ventures, McKesson Ventures",1.0,B Capital Group,,GE Ventures,McKesson Ventures,B Capital Group,,GE Ventures,McKesson Ventures
Sidecar Health,$1,2021-01-26,United States,El Segundo,Fintech,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures",1.0,GreatPoint Ventures,Tiger Global Management,Menlo Ventures,nan,GreatPoint Ventures,Tiger Global Management,Menlo Ventures,
Feedzai,$1,2021-03-24,United States,San Mateo,Artificial intelligence,"Global Founders Capital, Shea Ventures, Greycroft",1.0,Global Founders Capital,Shea Ventures,Greycroft,nan,Global Founders Capital,Shea Ventures,Greycroft,
Yunxuetang,$1,2021-03-29,China,Suzhou,Edtech,"Matrix Partners China, Sequoia Capital China, Hundreds Capital",1.0,Matrix Partners China,Sequoia Capital China,Hundreds Capital,nan,Matrix Partners China,Sequoia Capital China,Hundreds Capital,
Cameo,$1,2021-03-30,United States,Chicago,Internet software & services,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures",1.0,Lightspeed Venture Partners,Kleiner Perkins Caufield & Byers,Origin Ventures,nan,Lightspeed Venture Partners,Kleiner Perkins Caufield & Byers,Origin Ventures,
Hyperchain,$1,2021-04-11,China,Hangzhou,Fintech,"Yinhong Equity Investment Fund, E Fund, Ideal International",1.0,Yinhong Equity Investment Fund,E Fund,Ideal International,nan,Yinhong Equity Investment Fund,E Fund,Ideal International,
